Performance results for ver 1.1.0.0 - 2021-10-12 23:55:30
Test Case;Category;BinaryFormatter;DataContractSerializer;NewtonBSON;ObjectSerializer;ProtoBuf 3.0;
Instance of int;Data size;54 b;73 b;error;9 b;2 b;
Instance of int;Serialization time;15,26 ms;5,41 ms;error;1,18 ms;1,51 ms;
Instance of int;Deserialization time;28,92 ms;9,98 ms;error;0,74 ms;1,25 ms;
Instance of int;Total time;44,18 ms;15,39 ms;error;1,93 ms;2,76 ms;
Instance of POCO;Data size;error;error;56 b;69 b;error;
Instance of POCO;Serialization time;error;error;11,14 ms;2,43 ms;error;
Instance of POCO;Deserialization time;error;error;16,01 ms;2,81 ms;error;
Instance of POCO;Total time;error;error;27,14 ms;5,24 ms;error;
Instance of PolymorphicHolder;Data size;618 b;420 b;error;196 b;30 b;
Instance of PolymorphicHolder;Serialization time;45,21 ms;33,63 ms;error;5,04 ms;6,14 ms;
Instance of PolymorphicHolder;Deserialization time;67,07 ms;74,83 ms;error;4,84 ms;8,03 ms;
Instance of PolymorphicHolder;Total time;112,28 ms;108,46 ms;error;9,87 ms;14,17 ms;
Instance of SimpleClass;Data size;276 b;402 b;48 b;76 b;17 b;
Instance of SimpleClass;Serialization time;43,87 ms;20,50 ms;19,60 ms;3,61 ms;5,45 ms;
Instance of SimpleClass;Deserialization time;65,28 ms;38,26 ms;19,91 ms;4,39 ms;5,70 ms;
Instance of SimpleClass;Total time;109,15 ms;58,76 ms;39,51 ms;8,00 ms;11,15 ms;
Instance of SimpleClass as object;Data size;276 b;error;error;76 b;error;
Instance of SimpleClass as object;Serialization time;23,67 ms;error;error;2,35 ms;error;
Instance of SimpleClass as object;Deserialization time;39,22 ms;error;error;2,66 ms;error;
Instance of SimpleClass as object;Total time;62,89 ms;error;error;5,00 ms;error;
Instance of SimpleClass null text;Data size;267 b;376 b;39 b;71 b;11 b;
Instance of SimpleClass null text;Serialization time;40,93 ms;22,73 ms;18,07 ms;2,72 ms;4,56 ms;
Instance of SimpleClass null text;Deserialization time;61,78 ms;40,47 ms;18,08 ms;2,52 ms;4,93 ms;
Instance of SimpleClass null text;Total time;102,71 ms;63,20 ms;36,15 ms;5,24 ms;9,50 ms;
Instance of StructureHolder;Data size;1086 b;829 b;error;126 b;63 b;
Instance of StructureHolder;Serialization time;83,75 ms;41,67 ms;error;3,55 ms;8,81 ms;
Instance of StructureHolder;Deserialization time;116,49 ms;74,44 ms;error;3,82 ms;6,98 ms;
Instance of StructureHolder;Total time;200,24 ms;116,10 ms;error;7,37 ms;15,79 ms;
Object array;Data size;414 b;error;error;394 b;error;
Object array;Serialization time;65,62 ms;error;error;11,01 ms;error;
Object array;Deserialization time;81,45 ms;error;error;10,05 ms;error;
Object array;Total time;147,07 ms;error;error;21,06 ms;error;
Object array with registered type;Data size;460 b;error;error;134 b;error;
Object array with registered type;Serialization time;67,46 ms;error;error;10,05 ms;error;
Object array with registered type;Deserialization time;82,68 ms;error;error;5,77 ms;error;
Object array with registered type;Total time;150,14 ms;error;error;15,83 ms;error;
